PTT,argos_date,dive_num,depth,obs_temp,doppio_temp
161291,2018-07-12 00:00:00,56,"2,12,14,15,17,18,19,21,37,51","23.32,22.05,20.602,19.525,15.746,10.954,9.572,8.044,7.24,7.24","23.226,20.513,18.532,17.771,17.273,16.938,16.636,16.3,11.027,nan"
161291,2018-07-13 00:00:00,86,"2,8,12,13,14,16,17,19,29,43","23.48,22.906,21.087,19.349,18.599,14.404,10.895,8.774,7.53,7.705","23.365,23.609,22.553,21.823,20.919,19.101,18.342,17.183,14.154,nan"
161291,2018-07-14 16:00:00,57,"2,8,12,18,19,20,22,24,27,43","23.11,22.741,21.109,16.462,13.322,11.752,9.459,8.32,7.951,7.72","23.548,23.258,21.687,17.484,16.786,16.207,15.348,14.721,13.894,nan"
161291,2018-07-17 16:00:00,85,"2,9,11,14,16,17,18,21,24,51","24.04,23.227,22.159,18.652,14.906,14.348,11.718,9.343,8.212,8.1","24.688,24.114,22.937,20.603,17.999,16.895,16.006,14.815,13.968,nan"
161291,2018-07-18 04:00:00,84,"2,3,4,5,6","24.6,24.581,24.428,24.009,23.67","24.339,24.338,24.324,24.241,23.97"
161291,2018-07-19 08:00:00,83,"2,3,4","24.59,24.585,24.558","24.305,24.305,24.285"
161291,2018-07-19 16:00:00,82,"2,9,14,16,17,18,19,22,25,35","24.39,23.594,20.584,17.401,16.73,14.718,14.234,11.052,9.274,8.79","24.385,23.044,20.866,19.978,19.169,18.803,18.446,17.329,15.456,11.98"
161291,2018-07-21 00:00:00,81,"2,11,16,19,20,22,23,24,26,41","24.86,23.728,20.859,19.791,17.974,17.671,13.224,11.231,9.845,8.92","24.649,21.638,17.428,15.402,14.749,13.528,12.975,12.473,11.683,nan"
161291,2018-07-22 00:00:00,80,"2,9,12,14,16,19,20,22,26,38","24.59,23.924,22.152,19.412,17.807,14.31,12.523,10.631,9.677,9.45","24.102,22.674,20.852,19.825,18.704,17.054,16.539,15.585,13.927,12.775"
161291,2018-07-22 08:00:00,79,"2,3,4","24.1,24.108,24.172","22.937,22.936,22.934"
161291,2018-07-25 00:00:00,78,"2,10,12,16,17,19,20,22,24,45","24.55,24.05,23.44,18.845,15.844,12.531,12.531,9.889,9.154,8.92","24.252,22.251,19.152,15.903,15.467,15.287,15.245,15.178,15.001,12.266"
161291,2018-07-26 00:00:00,77,"2,8,11,14,16,18,20,21,27,42","24.5,23.874,21.98,19.21,14.547,12.027,10.008,9.523,8.85,8.85","24.626,24.278,21.126,18.218,16.799,15.927,15.454,15.268,14.583,nan"
161291,2018-07-26 20:00:00,76,"2,9,12,16,18,19,20,21,23,41","24.71,23.912,22.364,18.204,17.344,14.341,14.341,11.213,9.743,9.07","25.106,23.351,19.546,16.305,15.826,15.703,15.586,15.451,15.182,nan"
161291,2018-07-27 08:00:00,75,"2,3,4,5","25.33,25.287,25.078,24.9","25.58,25.581,25.582,25.582"
161291,2018-07-28 04:00:00,74,"2,3,4","26.32,26.294,25.594","26.165,26.165,26.165"
161291,2018-07-28 12:00:00,72,"2,4,5,12,15,18,23,26,28,47","25.79,25.719,24.814,23.198,21.601,18.477,11.856,9.495,8.59,8.04","25.926,25.926,25.925,22.022,17.975,16.143,15.976,15.917,15.453,nan"
161291,2018-07-29 04:00:00,71,"2,3,4,5,6","26.33,26.129,25.902,25.677,25.29","26.302,26.303,26.304,26.308,26.311"
161291,2018-07-31 08:00:00,70,"2,3,5,7","25.05,25.05,25.05,25.05","25.161,25.16,25.108,24.587"
161291,2018-08-01 04:00:00,69,"2,3,4,5","25.06,25.052,25.037,25.02","25.159,25.158,25.151,25.078"
161291,2018-08-02 12:00:00,68,"2,10,13,14,15,16,19,20,23,56","24.8,24.121,20.541,18.131,17.265,15.144,11.682,10.545,9.018,7.83","25.229,21.614,16.277,16.277,15.156,14.31,13.313,13.052,12.807,12.221"
161291,2018-08-03 04:00:00,67,"2,3,4,5,6,7,8","25.33,25.306,25.306,25.304,25.297,25.297,25.29","26.242,26.242,26.241,26.24,26.237,26.229,26.215"
161291,2018-08-03 08:00:00,66,"2,3,4,5,6","25.45,25.354,25.284,25.256,25.25","26.212,26.213,26.213,26.213,26.213"
161291,2018-08-03 20:00:00,65,"2,8,10,12,16,17,18,23,31,43","25.59,24.977,24.108,22.369,16.218,16.099,13.287,9.215,8.55,8.601","26.57,26.413,25.552,23.437,17.762,16.482,15.442,13.516,14.154,nan"
161291,2018-08-04 04:00:00,64,"2,4,5,6,7","26.08,26.08,25.995,25.93,25.93","26.781,26.783,26.784,26.784,26.785"
161291,2018-08-04 20:00:00,149,"2,8,10,11,12,16,19,24,30,41","26.15,25.493,23.851,21.989,21.35,15.693,12.262,9.543,8.32,7.9","26.913,26.905,26.816,26.328,25.026,19.198,15.983,14.773,14.87,12.622"
161291,2018-08-05 00:00:00,87,"2,7,11,12,13,14,18,23,29,41","26.56,26.338,24.603,22.351,21.853,18.954,13.232,10.038,8.451,8.1","27.006,27.129,26.789,26.023,24.967,23.405,17.985,17.397,17.608,nan"
161291,2018-08-05 08:00:00,58,"2,4,6,7,8,9,10","26.4,26.41,26.41,26.386,26.255,26.118,25.93","26.964,26.966,26.967,26.967,26.967,26.96,26.895"
161291,2018-08-05 16:00:00,59,"2,7,11,14,17,18,20,22,28,34","26.12,25.712,23.245,18.568,15.778,14.298,12.767,10.641,9.161,9.11","27.22,26.946,26.8,25.169,20.552,19.928,19.38,19.23,18.393,15.656"
